,average,yearpublished,minplayers,maxplayers,NEW_CAT_Family_Game,NEW_CAT_Heavy_Game,NEW_CAT_Party_Game,NEW_CAT_Strategy_Game
482,7.30781,2014,2.0,4.0,0,0,0,1
483,6.67064,2003,2.0,7.0,0,0,1,0
484,6.98834,2012,2.0,2.0,1,0,0,0
485,6.73926,2013,2.0,6.0,0,0,1,0
486,7.09656,2003,2.0,2.0,1,0,0,0
487,7.55078,2017,2.0,6.0,0,0,1,0
488,7.93607,2015,2.0,4.0,0,1,0,0
489,7.14044,2004,2.0,4.0,1,0,0,0
490,7.16159,2019,2.0,5.0,1,0,0,0
491,7.24056,2007,2.0,6.0,0,0,0,1
492,7.06964,2018,2.0,4.0,1,0,0,0
493,7.5185,2017,2.0,5.0,0,0,0,1
494,7.08058,2016,2.0,4.0,0,0,0,1
495,7.3331,2012,2.0,5.0,0,1,0,0
496,5.23141,1981,2.0,22.0,0,0,1,0
497,7.47191,2012,3.0,4.0,0,0,0,1
498,5.70218,1954,2.0,6.0,0,0,1,0
499,6.68511,2000,2.0,5.0,1,0,0,0
500,7.38949,2011,2.0,2.0,0,0,0,1
501,7.0376,2015,1.0,5.0,1,0,0,0
502,7.0027,2017,2.0,5.0,1,0,0,0
503,6.70678,2010,2.0,8.0,0,0,1,0
504,7.62277,2012,2.0,2.0,0,1,0,0
505,4.8926,1910,2.0,2.0,0,0,0,0
506,6.81019,2005,2.0,4.0,0,0,0,0
507,6.89178,2016,1.0,4.0,1,0,0,0
508,6.71122,2010,2.0,8.0,0,0,1,0
509,6.56238,2007,2.0,4.0,1,0,0,0
510,4.89445,1974,2.0,2.0,0,0,0,0
511,7.15669,1995,2.0,6.0,0,0,0,1
512,6.11233,1910,2.0,2.0,0,0,0,1
513,6.21402,1972,1.0,8.0,0,0,1,0
514,7.69885,2019,1.0,4.0,0,0,0,1
515,6.57889,2014,2.0,5.0,0,0,0,1
516,6.84847,2013,2.0,4.0,1,0,0,0
517,7.2766,2000,2.0,5.0,0,0,0,1
518,5.82727,1985,3.0,16.0,0,0,1,0
519,7.97378,2018,2.0,5.0,0,0,0,1
520,7.49697,1980,2.0,7.0,0,1,0,0
521,6.56899,1995,4.0,8.0,0,0,1,0
522,7.34159,2007,2.0,6.0,0,1,0,0
